@id|amenity|name|fee|opening_hours|changing_table|@lat|@lon
12188248185|toilets|||||43.8840783|12.9587074
12188248188|toilets|||||43.8828150|12.9600870
12188248190|toilets|||||43.8820069|12.9613266
12188325703|toilets|||||43.8260689|13.0596630
12188325704|toilets|||||43.8271562|13.0581066
12188652822|toilets||no||no|45.6780450|13.4086102
12189557701|toilets|||||40.8386133|8.4065013
12190122951|toilets|||||46.5448966|11.5625602
12192505201|toilets|||Mo-Su 07:30-21:30||38.1225342|15.1128627
12192551657|toilets|||||39.1986906|16.6626101
12193929689|toilets|||||42.9125436|12.5845829
12193929690|toilets|||||42.9125465|12.5858391
12194079274|toilets|||||44.9655523|8.4258699
12194285832|toilets|||||40.2911486|17.8280835
12194285833|toilets|||||40.2917983|17.8283275
12194285834|toilets|||||40.2925100|17.8285490
12194285835|toilets|||||40.2916587|17.8267580
12194285836|toilets|||||40.2921006|17.8269151
12194285837|toilets|||||40.2927398|17.8271431
12194285838|toilets|||||40.2929325|17.8276946
12194285839|toilets|||||40.2936446|17.8278394
12194285840|toilets|||||40.2934190|17.8264838
12194319875|toilets|||||40.3055382|17.6948294
12194505127|toilets|||||40.3051916|17.6914506
12194565483|toilets|||||40.3698302|17.3104644
12196467471|toilets|||||38.1173793|14.6997566
12196467472|toilets|||||38.1173313|14.7002526
12196467473|toilets|||||38.1171042|14.7000513
12196645230|toilets||no|||42.8053404|10.1983053
12196788780|toilets|||||45.4745279|10.9376876
12198466527|toilets|||||38.1381159|15.1415779
12198730513|toilets||no||no|45.6976486|13.1436174
12198872990|toilets|||||45.9830179|12.2278185
12200282202|toilets|||||45.4676974|12.2784139
12200848291|toilets|||||43.8116327|12.5355072
12201001688|toilets|||||45.4617512|12.1860136
12201893325|toilets|||||45.6391998|13.0519748
12202147113|toilets|||||40.6816769|14.6389155
12205636576|toilets|||||45.4520714|12.4792547
12205636579|toilets|||||45.4528157|12.4788871
12205923901|toilets|||||38.1260626|15.1130804
12206758655|toilets||no||yes|45.1478783|8.9918878
12206771601|toilets||no|||38.9103818|16.2469714
12207020536|toilets|||||45.9613227|8.4573347
12207025402|toilets|||||38.9003692|16.6010692
12207036143|toilets|||||46.5764805|11.1977224
12207087430|toilets|||||45.5749253|10.7120360
12207319994|toilets||no||no|45.6783740|13.4106903
12208766501|toilets|||||40.6700785|8.6897848
12208886401|toilets|||||45.4737572|9.1774556
12208978690|toilets|||||45.8210114|9.3596640
12208994499|toilets||no|||44.4559735|11.2801494
12209214331|toilets|||||43.3177518|11.3285666
12209214332|toilets||yes|||43.3176138|11.3250509
12211269901|toilets||no|||38.8222132|16.6132383
12211558518|toilets||no|||43.1487628|11.1556473
12211796601|toilets|||||38.5688236|16.5232135
12211930301|toilets|||||38.4788289|16.4673472
12212624256|toilets||||no|46.3477075|12.2781095
12213561002|toilets||no||no|45.2777672|7.4763281
12213941228|toilets|||||37.6494175|14.6409753
12214450770|toilets|Toilettes publiques||||44.8076269|7.1565826
12216669736|toilets||yes|"Mo-Th,Su 10:30-19:30; Fr-Sa 10:30-01:00"||43.7153120|10.4015125
12216828001|toilets|||||45.4896981|9.1738711
12217541312|toilets|||||45.2268771|12.2977055
12218796801|toilets|||||36.8034486|15.0994604
12218952958|toilets||||no|38.1588320|13.3709889
12219043240|toilets|||||44.2109027|9.5249244
12219043254|toilets|||||44.2099819|9.5260572
12222083120|toilets|||||44.3828394|12.3187688
12222083121|toilets|||||44.3842612|12.3188388
12222119134|toilets|||||44.3043398|12.3406522
12222119135|toilets|||||44.3032380|12.3398771
12222119136|toilets|||||44.3034463|12.3408257
12222143329|toilets|||||44.2480731|12.3576524
12222143330|toilets|||||44.2474467|12.3586740
12222143331|toilets|||||44.2467622|12.3579927
12222143332|toilets|||||44.2471640|12.3571114
12222299140|toilets|||||44.2063971|12.3885851
12225348101|toilets||no|||38.2559220|15.7148720
12228031958|toilets|||||43.0705309|12.6150506
12229471516|toilets||no||yes|37.4699649|15.0667371
12229471568|toilets||no|||37.4699551|15.0666926
12230064280|toilets||no||yes|41.6088260|15.8902985
12230307001|toilets|||||45.4491883|9.1610179
12232445059|toilets||no|||45.5431325|10.2244368
12233209690|toilets|||||45.9190167|9.3146353
12233227506|toilets|||||45.9214489|9.3127522
12235027054|toilets||||no|45.0534937|7.6850770
12235928410|toilets||||yes|41.2474862|16.2961480
12237448898|toilets|||||40.8491996|14.2447776
12237623463|toilets|||24/7||46.6385755|11.7175439
12238942700|toilets|||||45.8003852|9.8470130
12240547745|toilets||no||yes|42.6587577|14.0277951
12240734027|toilets|||||38.9153629|17.0277152
12240734030|toilets|||||38.9163149|17.0285193
12241315645|toilets||no||yes|40.8779420|14.2821777
12243722094|toilets|||||39.3849973|17.1440533
12243722095|toilets|||||39.3842486|17.1436391
12243722096|toilets|||||39.3845663|17.1430600
12243722098|toilets|||||39.3857684|17.1443548
12244068032|toilets|||24/7||39.1157847|9.5055878
12244179805|toilets|||||39.6874548|16.5215738
12244288484|toilets||no|||40.4233979|15.0070128
12245895120|toilets|||||41.1519353|16.7627882
12246245946|toilets||||no|42.3021810|14.3056192
12247862314|toilets||no|||40.8011213|14.2034149
12247943644|toilets||no|||45.4748951|10.8516881
12247958817|toilets||no|||41.7567871|12.2887608
12248125432|toilets|||||45.7169590|8.8609447
12248172522|toilets|||||39.5118340|16.2857273
12248596301|toilets|||||41.1350905|16.7650209
12250875596|toilets|||||40.7114625|13.9116003
12250934280|toilets|||||36.9396215|14.6620890
12252449391|toilets||yes||no|41.9013643|12.4547499
12253154928|toilets|||||41.2973701|13.2758916
12253154953|toilets|||||41.2979790|13.2767767
12253154959|toilets|||||41.2977567|13.2785766
12257897377|toilets|||||42.7793865|13.9549560
12257897378|toilets|||||42.7792134|13.9540057
