@id|amenity|name|covered|indoor|access|fee|bicycle_parking|surveillance|capacity|@lat|@lon
927359152|bicycle_parking||no||||wall_loops||25|46.0670501|11.1190405
927359322|bicycle_parking||no||||wall_loops||6|46.0694639|11.1216467
927359403|bicycle_parking||no||||||25|46.0677578|11.1188796
927359417|bicycle_parking||yes||||wall_loops|||46.0659931|11.1176404
929034650|bicycle_parking||no||||rack||8|46.0760614|11.1239478
930522335|bicycle_parking||no||||wall_loops||21|46.0718444|11.1196832
932175253|bicycle_parking|||||||||46.0628876|11.1260640
936825704|bicycle_parking|||||||||45.6725700|9.6655414
937070455|bicycle_parking||||||||11|46.2132333|11.0936830
937221256|bicycle_parking||no||||wall_loops||9|41.8610568|12.4699086
937561833|bicycle_parking|||||||||46.2133410|11.0920024
937562531|bicycle_parking|||||||||46.2137463|11.0914755
938729359|bicycle_parking|||||||||46.0669955|11.1244926
938729365|bicycle_parking||||||||8|46.0661029|11.1239814
938729458|bicycle_parking||||private||||8|46.0661631|11.1239086
940213788|bicycle_parking||yes|||||||46.2069388|11.1282928
940888426|bicycle_parking|||||||||45.3869839|8.9095768
941909486|bicycle_parking|||||||||46.0675862|11.1154079
941909602|bicycle_parking||||||||14|46.0669140|11.1150723
943772837|bicycle_parking||||||||8|46.3598765|11.0396146
944999712|bicycle_parking|||||||||46.2138103|11.0903112
945133228|bicycle_parking|||||||||46.3648999|11.0348284
945932256|bicycle_parking|||||||||46.3657894|11.0294996
948758405|bicycle_parking||no||||wall_loops||40|46.0696893|11.1213468
955208074|bicycle_parking||||customers|||||46.0930007|11.1161808
955940792|bicycle_parking|||||||||45.9755427|12.3566495
956203920|bicycle_parking|||||||||46.2114849|11.0937842
956203977|bicycle_parking|||||||||46.2117629|11.0940442
956510540|bicycle_parking||||||||9|41.9184809|12.4770718
959570047|bicycle_parking|||||||||41.8985840|12.4747802
959910981|bicycle_parking||||||rack||12|46.0623916|11.1257453
959911107|bicycle_parking||no||||wall_loops||15|46.0650627|11.1229149
963712275|bicycle_parking|||||||||46.0693289|11.1203361
964991501|bicycle_parking||no||||wall_loops||42|45.8943025|11.0435044
964991573|bicycle_parking||no|||||||45.8917769|11.0404207
969087731|bicycle_parking||no||||wall_loops||7|46.0686736|11.1201112
974095227|bicycle_parking||no||||wall_loops|||45.0899207|11.6013452
975288403|bicycle_parking||no||||wall_loops|||46.0790502|11.1180065
981683172|bicycle_parking|||||||||44.7992774|10.3416452
990256342|bicycle_parking|||||||||45.8602541|12.2625915
990462102|bicycle_parking||no||||stands||10|46.0677883|11.1235002
995634868|bicycle_parking||||||Verona_rack||20|45.4556605|9.1132424
998661865|bicycle_parking||no||||stands||11|46.0707175|11.1219381
1005696320|bicycle_parking|||||||||46.0145454|11.1324114
1014149378|bicycle_parking||||||||6|41.8972754|12.5120898
1014149380|bicycle_parking||||||||8|41.8969841|12.5117868
1014149383|bicycle_parking||no||||stands||4|41.8970841|12.5137448
1021302437|bicycle_parking||||||||80|45.4837487|12.2329466
1021443579|bicycle_parking|||||||||41.8931286|12.5720479
1036264350|bicycle_parking|||||||||45.5579107|9.2148223
1036264384|bicycle_parking||||||||6|45.5596548|9.2139748
1039341595|bicycle_parking||||||||12|41.9120875|12.4760294
1061613093|bicycle_parking|||||||||45.6110520|9.9199504
1062349871|bicycle_parking|||||||||45.9000604|12.2897624
1065710925|bicycle_parking|||||||||45.1987268|12.2963631
1065710979|bicycle_parking|||||||||45.1991001|12.2960631
1073482343|bicycle_parking||||||||20|46.0680729|11.1253983
1084447437|bicycle_parking||||||||5|45.5423025|9.1733609
1084586422|bicycle_parking||||||||10|45.5419471|9.1730264
1088113808|bicycle_parking|||||||||45.5393188|9.1673355
1088227264|bicycle_parking|||||||||45.5390124|9.1666128
1098703010|bicycle_parking|||||||||45.5960483|9.8928087
1098703030|bicycle_parking|||||||||45.5957912|9.8927459
1098703073|bicycle_parking|||||||||45.5963647|9.8915187
1108920462|bicycle_parking|Parcheggio biciclette|no|||no||||41.1172903|16.8213801
1109610413|bicycle_parking|||||||||44.5773696|10.8457561
1109630834|bicycle_parking|||||||||44.5617650|10.8561716
1111649437|bicycle_parking||yes||||wall_loops||18|44.4874590|11.3293906
1111649451|bicycle_parking||no||||stands|||44.4880566|11.3289187
1112958352|bicycle_parking||||||||4|41.9292076|12.4697494
