@id|leisure|name|opening_hours|indoor|fee|supervised|@lat|@lon
3788907087|playground||||||45.1947844|7.7659668
3792449212|playground||||||40.7472391|14.7721343
3794386371|playground||||||45.0045954|8.9266475
3797917439|playground||||||45.7406234|8.8301047
3798145095|playground||||||45.5951626|7.7908879
3799342393|playground||||||45.5379047|8.0558007
3800060854|playground||||||45.3033742|9.5093748
3800060863|playground||||||45.3030553|9.5096535
3800205934|playground||||||45.3224449|9.4881861
3802784205|playground||||||46.5399794|10.1427983
3802784208|playground||||||46.5400098|10.1428167
3802784221|playground||||||46.5405424|10.1431604
3806542927|playground||||||45.1578693|9.8552961
3807575038|playground||||||39.5914562|15.8646240
3808110002|playground||||||44.3769865|12.0277428
3808148104|playground||||||45.1520375|7.6627174
3808148314|playground||||||45.1545848|7.6582895
3808357197|playground|Percorso Vita|||||46.1994459|9.4017016
3808609649|playground||||||45.2130060|7.6387073
3808713604|playground||||||40.8489881|14.3704567
3809836783|playground||||||38.0577675|14.5859342
3810373973|playground||||||45.5652886|9.2675617
3810376392|playground||||||45.5660622|9.2670752
3811301831|playground||||||44.4800917|8.4907926
3811540389|playground||||||44.2722300|11.6033317
3812921008|playground||||||45.5522371|9.6326726
3813915459|playground||24/7||||45.3291124|7.6883140
3813915460|playground||24/7||||45.3315509|7.6881807
3813977861|playground||||||44.3822165|11.9278370
3815867299|playground||||||44.8693871|9.2658222
3817115683|playground||||||44.8662334|9.2641922
3817188354|playground||||||39.8766920|9.5206362
3817847407|playground||||||45.7043507|9.5057066
3819795139|playground||||||46.0548469|11.1198966
3819828727|playground||||||46.1048610|11.1103234
3825125396|playground||||||46.1546774|10.0301541
3825125399|playground||||||46.1585874|10.0006743
3825894297|playground||||||46.1583959|9.9623331
3826210997|playground||||||44.9964554|9.0090648
3827126124|playground||||||44.0784402|9.9610601
3827130762|playground||||||41.1435856|16.4110589
3827130763|playground||||||41.1437250|16.4111608
3827130764|playground||||||41.1434826|16.4111313
3827130765|playground||||||41.1435755|16.4111716
3827818703|playground||||||45.6220623|9.1382680
3828502585|playground||||||44.1925283|9.8543019
3828523001|playground||||||45.8065050|8.6781406
3832743726|playground||||||45.7864670|8.7354550
3833895582|playground||||||44.3070584|11.8617451
3833973898|playground||||||46.2858969|12.7967463
3836384887|playground||||||44.1093937|9.9630590
3837060054|playground||||||45.6164995|12.0494167
3839277538|playground||||||45.5837654|9.4198132
3839568774|playground||||||44.2468227|8.4409801
3843502440|playground||||||42.2508031|11.7558391
3843502661|playground||||||42.2505611|11.7560746
3847191390|playground||||||44.8672118|9.3165437
3848700428|playground||||||45.0492280|9.8695300
3851725182|playground||||||45.9231979|13.6090311
3853119953|playground||||||43.9293563|10.9197635
3854652019|playground||||||45.7044171|7.6752936
3854652021|playground||||||45.7044427|7.6748157
3855213947|playground||||||45.6126366|9.4632694
3855237581|playground||||||45.6501907|12.2615512
3856997981|playground||||||45.7294555|7.6739668
3857510660|playground||||||45.6417111|12.2533760
3857674679|playground||||||46.3919482|12.2903203
3858905805|playground||||||45.6903537|8.7413124
3859038025|playground||||||45.0619582|9.8613395
3859126798|playground||||||44.4717610|11.3855939
3859700666|playground|Il Rifugio delle Birbe - Baby Parking Doposcuola|||||41.6902599|13.4173238
3860594919|playground||||||45.7900953|8.7515816
3860951638|playground||||||45.7234064|7.7004066
3861028783|playground||||||45.7319063|7.7135871
3865381420|playground||||||44.4905343|8.9702466
3865449420|playground||||||45.6967337|8.8034215
3868053121|playground||||||45.7322209|8.8962293
3868595660|playground|Villa Trabia alle Terre rosse|||||38.1305649|13.3464226
3868596793|playground||||||45.8392850|8.7657547
3870542231|playground||||||45.6428565|8.8984515
3870780163|playground||||||45.5683068|9.3723765
3871177195|playground||||||45.7665018|8.8346760
3871177248|playground||||||45.7672160|8.8355534
3874714135|playground||||||45.4192460|12.0800649
3878441760|playground||||||45.4263484|12.0720445
3878926816|playground||||||43.8346393|13.0260732
3883455967|playground||||||42.4201420|12.8602184
3883455972|playground||||||42.4097752|12.8529202
3884656571|playground||||||45.3509113|10.5984261
3884895965|playground||||||45.6428422|12.2444192
3885125805|playground||||||45.5819242|9.3299550
3885269376|playground||||||45.4366760|9.3864121
3885367570|playground||||||45.5680303|9.3723933
3885903194|playground||||||45.3495415|11.7503932
3885997524|playground||||||45.6403544|12.2460414
3886840283|playground||||||45.2498387|8.5813890
3887380782|playground||||||46.1877016|12.5408587
3887381767|playground||||||46.1853181|12.5269861
3887509132|playground||||||45.5433483|9.2975647
3889070228|playground||||||45.8007853|7.6817189
3891655084|playground||||||45.8141358|7.6884240
3891724722|playground||||||45.8208489|7.6911743
3893024182|playground||||||45.4871698|9.2108998
3893695461|playground||||||45.7731668|9.0900579
3893755579|playground||||||36.9265049|14.7485107
3897780792|playground||||||45.5832077|8.7158690
3899430864|playground||||||45.6351785|12.2420806
3900352883|playground||||||45.5191433|9.2841995
3901390428|playground||||||45.4332211|9.3807355
3904951809|playground||||||44.9586602|7.6646065
3912790910|playground||||||41.4587177|12.9085397
3912836435|playground||||||45.6033491|8.8574227
3917049615|playground||||||40.6197424|16.1486892
3919527125|playground||||||44.7196412|10.6349725
3920799775|playground||||||46.0769654|11.5742217
3922335542|playground||||||46.5299426|11.4082600
3923494590|playground||||||44.7377909|10.5780925
3923845358|playground||||||45.1533895|9.6307456
3927051845|playground|Bosco delle fate|||||44.2846195|7.8757275
3928880119|playground||||||45.1753003|8.5926267
3929890180|playground||||||45.5409321|7.5332587
3929890181|playground||||||45.5408269|7.5335377
3929890191|playground||||||45.5427140|7.5306365
3930397123|playground||||||45.7052298|10.7658194
3931775901|playground||||||45.4598322|9.2150507
3933374293|playground||||||45.9640760|8.5101869
3933739995|playground||||||46.0046124|11.2617711
3934390495|playground||||||45.8502154|7.7344760
3937760663|playground||||||46.0653496|11.2471089
3937760669|playground||||||46.0654981|11.2474019
3937983321|playground||||||46.0994692|11.2368923
3938155821|playground||||||46.0638776|11.5083190
3938156570|playground||||||46.0640276|11.5081396
3938156587|playground||||||46.0641208|11.5083610
3939232274|playground||||||38.2180827|15.3565041
3941764077|playground||||||45.7468596|8.7515667
3945041687|playground||||||45.0976298|9.3178724
3945427223|playground||||||45.5382188|12.6344998
3945427224|playground||||||45.5386410|12.6344389
3945985491|playground||||||44.1507545|12.2464064
3947601732|playground||||||43.8220433|11.2551429
3951394770|playground||||||43.8954684|10.7336321
3951896997|playground||||||45.5728206|9.4676885
3955774125|playground||||||43.8737254|8.0148971
3957125716|playground||||||45.4311208|8.8688028
3957947519|playground||||||43.8593144|10.2481994
3958055266|playground||||||43.8467818|10.8262164
3958466400|playground||||||45.4196451|9.1268586
3960073568|playground||||||46.1952830|12.8689380
3962448964|playground||||||45.0407944|9.1091663
3965064529|playground||||||43.4805338|11.7075210
3965335593|playground||||||37.8997661|15.2930430
3967904500|playground||||||45.1284152|7.8275209
3969450869|playground||||||45.5127680|9.1026447
3971537337|playground||||||43.3899663|10.4307188
3975498301|playground||||||46.0562855|11.4546628
3978701025|playground||||||46.3092854|11.0134511
3978703209|playground||||||46.0735613|11.4695473
3978712666|playground||||||46.0733496|11.4703378
3979550131|playground||||||45.1574680|9.3950431
3980296815|playground||||||45.1671747|10.0782305
3980296816|playground||||||45.1682516|10.0803641
3980419774|playground||||||45.1674824|10.0760240
3986183737|playground||||||43.8479429|10.9025028
3987701176|playground||||||45.1133871|9.3483551
3988102779|playground|Scivolo e altro gioco|||||44.4484812|8.8944785
3988544901|playground|scivolo e altro gioco|||||44.4509941|8.8937895
