@id|amenity|name|@lat|@lon
266861186|drinking_water||44.4060978|8.9431299
266962468|drinking_water||41.8782724|12.4864779
266962469|drinking_water||41.8778028|12.4854788
266962641|drinking_water||41.8814483|12.4867147
266965232|drinking_water||41.8833501|12.4875256
267110536|drinking_water||44.4014972|8.9519809
267110563|drinking_water||44.4006939|8.9513458
267110621|drinking_water||44.3997679|8.9508995
267112897|drinking_water||41.8914635|12.4691021
267112898|drinking_water||41.8965545|12.4643260
267112935|drinking_water||41.8940468|12.4735353
267157923|drinking_water||41.8873570|12.5132676
267157924|drinking_water||41.8874489|12.5138812
267157925|drinking_water||41.8864170|12.5107289
267158306|drinking_water||41.8848077|12.5083191
267941855|drinking_water||41.9120575|12.5031898
267944268|drinking_water||41.8774301|12.5065262
267954821|drinking_water||45.6948558|10.1124195
268401565|drinking_water|Fontana dell'Aquila|46.0677293|11.1215698
268409383|drinking_water||46.0672129|11.1233878
268435082|drinking_water||46.0659610|11.1241484
268437618|drinking_water||46.0661698|11.1255502
268701445|drinking_water||42.4767405|14.1864532
268701658|drinking_water||42.4856889|14.1930807
268701670|drinking_water||42.4534801|14.2357734
268768138|drinking_water||46.0714947|11.1307716
268768139|drinking_water||46.0731621|11.1281284
268768142|drinking_water||46.0744317|11.1291327
269127293|drinking_water||46.2775044|11.4137883
269127317|drinking_water||46.2767035|11.4144888
269127383|drinking_water||46.2736467|11.4248012
269127606|drinking_water||46.2720568|11.4230805
269224072|drinking_water||41.8913236|12.5103473
269312698|drinking_water||46.0670880|11.1267422
269348454|drinking_water||46.1469123|11.2195964
269348479|drinking_water||46.1490681|11.1865268
269356199|drinking_water||44.4174538|8.9550701
269356365|drinking_water||44.4100513|8.9541616
269356397|drinking_water||46.0632018|11.2390430
269516724|drinking_water||44.3929302|9.0050601
269565332|drinking_water||46.0744300|11.1250762
269695810|drinking_water||41.1261279|16.5471250
270107497|drinking_water||44.3862218|9.0377063
270107503|drinking_water||44.3864549|9.0358695
270193647|drinking_water||41.9200176|12.4976680
270193648|drinking_water||41.9095363|12.5064289
270194436|drinking_water||41.8739050|12.5089736
270194708|drinking_water||41.8678613|12.5205016
270196887|drinking_water||41.9093572|12.5078425
270197750|drinking_water||41.9069736|12.5138648
270197842|drinking_water||41.9096391|12.5105420
270197843|drinking_water||41.9042319|12.5172914
270197916|drinking_water||41.9004327|12.5142644
